song_title,album,length,plays,release_year,enjoyability, 
Planet Telex,The Bends,259,36940569,1995,Bad,
The Bends,The Bends,246,42682775,1995,Good,
High and Dry,The Bends,257,395327862,1995,Great,
Fake Plalstic Trees,The Bends,290,277367032,1995,Good,
Bones,The Bends,189,24508937,1995,Good,
(Nice Dream),The Bends,233,37276444,1995,Bad, 
Just,The Bends,234,153396763,1995,Good,
My Iron Lung,The Bends,276,60126330,1995,Great,
Bullet Proof ... I Wish I was,The Bends,208,37695771,1995,Bad,
Black Star,The Bends,247,59527972,1995,Great,
Sulk,The Bends,222,20850274,1995,Good,
Street Spirit (Fade Out),The Bends,253,112204122,1995,Bad,
Airbag,OK Computer,287,66348831,1997,Bad,
Paranoid Android,OK Computer,387,208764583,1997,Good,
Subterranean Homesick Alien,OK Computer,267,64799910,1997,Good,
Exit Music (For A Film),OK Computer,267,210199231,1997,Great,
Let Down,OK Computer,299,108484576,1997,Bad,
Karma Police,OK Computer,264,507822561,1997,Great,
Fitter Happier,OK Computer,217,26834925,1997,Good,
Electioneering,OK Computer,230,35927783,1997,Bad,
Climbing Up the Walls,OK Computer,285,44429969,1997,Good,
No Suprises,OK Computer,229,630641266,1997,Great,
Lucky,OK Computer,258,58401290,1997,Good,
The Tourist,OK Computer,326,37120173,1997,Good,
15 Step,In Rainbows,237,76167798,2007,Good,
Bodysnatchers,In Rainbows,242,58597322,2007,Bad,
Nude,In Rainbows,255,126653265,2007,Good,
Weird Fishes/ Arpeggi,In Rainbows,318,181243782,2007,Good,
All I Need,In Rainbows,228,114467929,2007,Great,
Faust Arp,In Rainbows,129,35808613,2007,Bad,
Reckoner,In Rainbows,290,86066587,2007,Good,
House Of Card,In Rainbows,328,85146625,2007,Bad,
Jigsaw Falling Into Place,In Rainbows,248,157851437,2007,Great,
Videotape,In Rainbows,279,43413899,2007,Good,